geneID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000176971,FIBIN,35.96242928,8.26158156,2.901872511,2.846982949,0.004413573,0.999750329
ENSG00000095739,BAMBI,1111.888462,3.600046803,1.348264738,2.670133469,0.00758211,0.999750329
ENSG00000107731,UNC5B,3411.888513,3.952167405,1.493148082,2.646869023,0.008124081,0.999750329
ENSG00000162636,FAM102B,83.31907096,-3.013278977,1.179007965,-2.555774912,0.010595163,0.999750329
ENSG00000141497,ZMYND15,54.99096332,3.483356564,1.367496498,2.547250811,0.010857537,0.999750329
ENSG00000236404,VLDLR-AS1,74.22470175,3.949011071,1.556299069,2.537437148,0.011166742,0.999750329
ENSG00000175175,PPM1E,57.65689433,3.719061689,1.503787158,2.473130369,0.013393527,0.999750329
ENSG00000167861,HID1,56.49600548,4.313426109,1.765266127,2.443499053,0.014545608,0.999750329
ENSG00000242550,SERPINB10,46.28841034,4.078085649,1.669563655,2.442605669,0.01458166,0.999750329
ENSG00000023902,PLEKHO1,90.45105465,-2.943211835,1.20688077,-2.438693123,0.01474048,0.999750329
ENSG00000031081,ARHGAP31,152.7845342,-2.703359868,1.110033911,-2.435384938,0.014875955,0.999750329
ENSG00000141448,GATA6,32.90966368,4.550447303,1.868658426,2.435141297,0.014885976,0.999750329
ENSG00000106823,ECM2,202.5878906,3.000843816,1.23980173,2.42042235,0.01550249,0.999750329
ENSG00000189060,H1F0,8144.140689,2.815822392,1.176833255,2.392711439,0.016724389,0.999750329
ENSG00000125378,BMP4,88.4213593,-3.298888155,1.37924138,-2.391813501,0.016765359,0.999750329
ENSG00000145362,ANK2,66.53124127,4.506066447,1.902030796,2.36908175,0.017832311,0.999750329
ENSG00000177706,FAM20C,167.8932705,-2.60938451,1.103791778,-2.364018795,0.018077895,0.999750329
ENSG00000109971,HSPA8,14354.4921,-2.756078377,1.182740252,-2.330248229,0.019793035,0.999750329
ENSG00000145777,TSLP,91.19824449,3.251501095,1.401253175,2.320423714,0.020317967,0.999750329
ENSG00000143333,RGS16,42.28202091,3.223483943,1.39315298,2.313804721,0.020678436,0.999750329
ENSG00000151012,SLC7A11,4493.681968,2.390674789,1.034415965,2.311134853,0.020825407,0.999750329
ENSG00000143772,ITPKB,249.8525568,-2.056223424,0.891802399,-2.30569398,0.021127738,0.999750329
ENSG00000119714,GPR68,52.99657261,-2.763993875,1.199902207,-2.303515952,0.021249831,0.999750329
ENSG00000111981,ULBP1,1205.832812,2.340673428,1.020507623,2.293636397,0.021811393,0.999750329
ENSG00000078725,BRINP1,41.48594795,-3.101585911,1.359571736,-2.281296256,0.022530922,0.999750329
ENSG00000180884,ZNF792,40.6886646,-3.577307977,1.569083707,-2.279870705,0.022615358,0.999750329
ENSG00000072422,RHOBTB1,133.8161386,-2.126647999,0.932843065,-2.279748951,0.022622582,0.999750329
ENSG00000204389,HSPA1A,679.9275875,-2.518929259,1.110842058,-2.267585424,0.023354487,0.999750329
ENSG00000204385,SLC44A4,12.06754817,4.135418962,1.830710209,2.258915116,0.023888666,0.999750329
ENSG00000101230,ISM1,63.62764598,-2.620437603,1.161926686,-2.255252103,0.024117509,0.999750329
ENSG00000218358,RAET1K,69.72064599,2.43273398,1.079417627,2.253746759,0.024212104,0.999750329
ENSG00000225177,AL590617.2,151.6839924,2.131122179,0.946222393,2.252242384,0.024306959,0.999750329
ENSG00000102996,MMP15,305.7289104,-2.53297595,1.131868748,-2.237870738,0.025229486,0.999750329
ENSG00000265972,TXNIP,37513.97122,2.864185244,1.28176026,2.234571732,0.025445478,0.999750329
ENSG00000149679,CABLES2,100.0571115,-2.112038279,0.945460965,-2.233871474,0.025491531,0.999750329
ENSG00000143198,MGST3,925.7932705,-1.810768631,0.814169148,-2.224069329,0.02614378,0.999750329
ENSG00000140284,SLC27A2,44.37253178,3.091038678,1.39109331,2.222021094,0.02628188,0.999750329
ENSG00000182264,IZUMO1,44.39794039,3.872391798,1.742987346,2.22169817,0.02630371,0.999750329
ENSG00000266469,AC005288.1,9.23450853,6.118655909,2.760526507,2.216481491,0.026658544,0.999750329
ENSG00000150051,MKX,33.37335999,5.178478966,2.339776557,2.213236538,0.026881342,0.999750329
ENSG00000115009,CCL20,92.05757571,3.364054689,1.520041499,2.213133452,0.026888446,0.999750329
ENSG00000224259,LINC01133,1193.611154,2.09709312,0.948610467,2.210699958,0.027056621,0.999750329
ENSG00000116761,CTH,488.1646221,2.35963374,1.06767934,2.210058444,0.027101106,0.999750329
ENSG00000182013,PNMA8A,102.4303274,-2.442377044,1.105480486,-2.209335284,0.027151329,0.999750329
ENSG00000160233,LRRC3,54.39361961,-2.567153472,1.163793615,-2.205849421,0.027394545,0.999750329
ENSG00000113369,ARRDC3,1437.838706,1.728740894,0.784063728,2.204847428,0.027464803,0.999750329
ENSG00000162512,SDC3,307.4946668,-1.773353039,0.805468119,-2.201642743,0.027690554,0.999750329
ENSG00000087074,PPP1R15A,2945.429251,2.30061688,1.045782786,2.199899358,0.027814036,0.999750329
ENSG00000261366,MANEA-DT,36.19225546,-2.493904393,1.133935595,-2.199335134,0.027854101,0.999750329
ENSG00000198873,GRK5,140.155851,-2.074412852,0.944116387,-2.197200345,0.028006141,0.999750329
ENSG00000116717,GADD45A,1731.523969,1.981994715,0.902552892,2.195987329,0.02809285,0.999750329
ENSG00000205710,C17orf107,63.58052681,2.148075689,0.979048023,2.194045275,0.028232155,0.999750329
ENSG00000165821,SALL2,30.16052916,-2.962051478,1.351625479,-2.191473543,0.028417542,0.999750329
ENSG00000103044,HAS3,223.2316612,-2.998286174,1.369675368,-2.189048766,0.028593296,0.999750329
ENSG00000164379,FOXQ1,550.5221312,2.374554554,1.087103677,2.184294473,0.028940617,0.999750329
ENSG00000133101,CCNA1,245.3248199,3.509986582,1.607242395,2.183856395,0.028972802,0.999750329
ENSG00000112972,HMGCS1,3230.93544,-2.423904015,1.110161346,-2.183379941,0.029007842,0.999750329
ENSG00000130707,ASS1,4615.216666,2.769477846,1.270538901,2.179766274,0.029274791,0.999750329
ENSG00000100422,CERK,600.4264473,-1.85863318,0.854843811,-2.174237161,0.029687329,0.999750329
ENSG00000114019,AMOTL2,5339.418862,1.647067236,0.75773279,2.173678186,0.029729312,0.999750329
ENSG00000129437,KLK14,15.22898765,6.234131984,2.870913838,2.171480001,0.029894907,0.999750329
ENSG00000111674,ENO2,24.18423534,-3.194330667,1.471107003,-2.171378874,0.029902544,0.999750329
ENSG00000161682,FAM171A2,19.60625945,-3.110568475,1.438154537,-2.162888894,0.030549726,0.999750329
ENSG00000128165,ADM2,713.2446057,2.157950899,0.999800836,2.158380769,0.03089824,0.999750329
ENSG00000226137,BAIAP2-DT,52.62190192,-2.16674349,1.004283063,-2.157502769,0.030966512,0.999750329
ENSG00000126803,HSPA2,763.652905,-2.005250865,0.92996315,-2.156269165,0.031062654,0.999750329
ENSG00000124107,SLPI,16268.57965,4.055236787,1.883052585,2.153544101,0.031275942,0.999750329
ENSG00000116183,PAPPA2,210.7828015,4.240774718,1.970218536,2.152438748,0.031362815,0.999750329
ENSG00000276997,AL513314.2,5.883902331,5.855622586,2.72329104,2.150200805,0.031539335,0.999750329
ENSG00000138944,SHISAL1,62.44051543,-2.96782601,1.381630304,-2.148060883,0.031708919,0.999750329
ENSG00000182253,SYNM,134.6568179,-2.287456992,1.066327114,-2.145173805,0.031938953,0.999750329
ENSG00000221869,CEBPD,2381.839059,2.030943101,0.947497066,2.143482207,0.032074398,0.999750329
ENSG00000065060,UHRF1BP1,1218.241402,1.825755376,0.852173832,2.142468247,0.032155821,0.999750329
ENSG00000197632,SERPINB2,6109.199229,2.276527126,1.063935153,2.139723572,0.032377113,0.999750329
ENSG00000129151,BBOX1,521.0308159,3.850764282,1.800010297,2.139301251,0.032411278,0.999750329
ENSG00000188177,ZC3H6,444.4150091,1.642162227,0.769157843,2.135013304,0.032759923,0.999750329
ENSG00000215127,SYT14P1,4.56512187,5.855618364,2.74424339,2.133782443,0.032860594,0.999750329
ENSG00000092929,UNC13D,203.3032578,2.254365722,1.061289426,2.124176183,0.033655414,0.999750329
ENSG00000111218,PRMT8,27.98797889,2.923928034,1.378251818,2.121475914,0.033881773,0.999750329
ENSG00000268089,GABRQ,24.61213279,-3.571882935,1.685542643,-2.119129379,0.034079534,0.999750329
ENSG00000197712,FAM114A1,1068.984533,-1.68360051,0.794637511,-2.118702536,0.034115614,0.999750329
ENSG00000115221,ITGB6,1937.489575,-2.507301641,1.188353814,-2.109894891,0.03486741,0.999750329
