geneID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000163993,S100P,642.6089858,14.09676714,4.373357254,3.223328514,0.001267101,0.514275563
ENSG00000168703,WFDC12,525.6235654,11.72545476,4.445637222,2.637519476,0.008351483,0.514275563
ENSG00000153012,LGI2,135.0685454,11.4126727,4.16422546,2.740647164,0.006131832,0.514275563
ENSG00000127249,ATP13A4,99.53149877,11.30326312,4.196200836,2.693689735,0.007066591,0.514275563
ENSG00000253775,AC100802.1,97.14125899,11.30325708,4.132873514,2.734963227,0.006238725,0.514275563
ENSG00000115602,IL1RL1,75.05569308,10.6984783,4.661683759,2.294981568,0.021734181,0.514275563
ENSG00000234424,AL353743.4,44.50267758,10.52188757,4.816047581,2.184755735,0.028906761,0.514275563
ENSG00000093134,VNN3,46.79702572,10.41268636,4.096216171,2.542025598,0.01102121,0.514275563
ENSG00000261268,AC112236.1,83.14460197,10.36322214,3.666036601,2.826819062,0.004701288,0.514275563
ENSG00000172551,MUCL1,188.298291,10.10889102,5.883395806,1.718206858,0.085758891,0.514726028
ENSG00000121335,PRB2,28.68428674,9.651181821,4.967695321,1.942788597,0.052041706,0.514275563
ENSG00000153930,ANKFN1,33.22583691,9.521950861,3.320610405,2.867530273,0.004136892,0.514275563
ENSG00000146147,MLIP,56.83884885,9.50684002,3.055462313,3.111424408,0.001861871,0.514275563
ENSG00000232624,LINC01517,21.04633082,9.428833909,3.684166757,2.559285323,0.010488762,0.514275563
ENSG00000235531,MSC-AS1,39.67992277,9.379929254,3.084592874,3.040897012,0.002358745,0.514275563
ENSG00000263201,DPEP2NB,17.13835203,9.363105057,6.768471525,1.383341131,0.166560292,0.548942056
ENSG00000197353,LYPD2,26.96293942,9.311972366,5.113147869,1.821181903,0.06857921,0.514353404
ENSG00000152463,OLAH,31.1562448,9.276845868,3.237488351,2.865445327,0.004164232,0.514275563
ENSG00000105388,CEACAM5,17.0992164,9.258798977,6.298740871,1.469944417,0.141576809,0.532880518
ENSG00000102683,SGCG,22.95762599,8.959354237,3.448026993,2.598400261,0.009365925,0.514275563
ENSG00000283142,AL049767.1,17.64386799,8.843882692,3.126222984,2.828935344,0.004670313,0.514275563
ENSG00000166920,C15orf48,74.93315489,8.802622086,3.74725768,2.34908374,0.018819674,0.514275563
ENSG00000159516,SPRR2G,2010.831724,8.79349338,3.560585235,2.469676415,0.013523532,0.514275563
ENSG00000143556,S100A7,1403.784825,8.689044025,3.535388655,2.457733752,0.013981679,0.514275563
ENSG00000248713,C4orf54,71.71643704,8.669210915,3.751847359,2.310651283,0.020852124,0.514275563
ENSG00000118849,RARRES1,17.17126879,8.664915747,3.178720776,2.72591283,0.006412393,0.514275563
ENSG00000236996,MLIP-IT1,18.50633582,8.521957097,3.13076597,2.722003873,0.006488738,0.514275563
ENSG00000172201,ID4,1709.741297,8.499651861,3.297799637,2.57737061,0.009955515,0.514275563
ENSG00000121898,CPXM2,24.36427254,8.460555757,3.167157716,2.67134021,0.007554903,0.514275563
ENSG00000268104,SLC6A14,356.0201796,8.269091039,2.977350921,2.777331682,0.005480722,0.514275563
ENSG00000164266,SPINK1,8.275237092,8.258823421,6.167000815,1.339196097,0.180506843,0.553537632
ENSG00000164929,BAALC,15.15173561,8.222394986,3.322402217,2.474834307,0.0133298,0.514275563
ENSG00000139445,FOXN4,8.635490443,8.222389841,3.966215804,2.073107024,0.03816232,0.514275563
ENSG00000176971,FIBIN,35.96242928,8.22238626,2.90431755,2.83109065,0.004638957,0.514275563
ENSG00000184330,S100A7A,11.09252154,8.106919938,3.407930435,2.378839619,0.01736723,0.514275563
ENSG00000129437,KLK14,15.22898765,8.10691883,2.853060256,2.841481814,0.004490441,0.514275563
ENSG00000236049,LINC01920,11.27246535,8.066275917,3.33746341,2.416888195,0.015653825,0.514275563
ENSG00000178597,PSAPL1,287.5542306,7.953736759,3.03520533,2.620493803,0.008780253,0.514275563
ENSG00000160862,AZGP1,120.9834645,7.875117475,3.445322609,2.285741676,0.022269376,0.514275563
ENSG00000270672,MTRNR2L6,20.99835078,7.843894473,3.095462716,2.533997399,0.011276957,0.514275563
ENSG00000004799,PDK4,7.628988236,7.843877838,4.046331419,1.938515911,0.052560312,0.514275563
ENSG00000184148,SPRR4,103.2989362,7.825210233,3.507230984,2.231164776,0.025670216,0.514275563
ENSG00000267095,AC025048.1,16.39381591,7.794977403,3.23767693,2.407583453,0.016058492,0.514275563
ENSG00000235357,LINC01621,8.343429773,7.794965957,4.127063656,1.888743816,0.058926164,0.514275563
ENSG00000203785,SPRR2E,2842.255391,7.780964253,2.877119916,2.704428206,0.006842205,0.514275563
ENSG00000196805,SPRR2B,155.2773888,7.708618883,3.356923393,2.296334465,0.021656765,0.514275563
ENSG00000235885,LINC01828,75.95179034,7.67420823,3.363092405,2.281890387,0.022495813,0.514275563
ENSG00000169900,PYDC1,20.58568129,7.580854811,3.000339386,2.526665765,0.011515103,0.514275563
ENSG00000122224,LY9,12.32498918,7.580852146,3.11528958,2.43343418,0.014956354,0.514275563
ENSG00000230234,AL162582.1,9.969007607,7.580845884,3.275309335,2.314543485,0.020637929,0.514275563
ENSG00000108244,KRT23,6319.094694,7.562087616,2.749803183,2.750046862,0.005958674,0.514275563
ENSG00000164761,TNFRSF11B,9.597065075,7.521956639,3.143928847,2.392533993,0.016732478,0.514275563
