geneID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000163993,S100P,642.6089858,10.90932681,4.374154527,2.494042389,0.012629746,0.866536786
ENSG00000153012,LGI2,135.0685454,9.494321519,4.166047397,2.278975876,0.022668499,0.866536786
ENSG00000146147,MLIP,56.83884885,9.131784967,3.0563003,2.987855927,0.00280942,0.866536786
ENSG00000261268,AC112236.1,83.14460197,9.014723797,3.668383589,2.457410349,0.013994273,0.866536786
ENSG00000127249,ATP13A4,99.53149877,8.994252403,4.198991297,2.142003107,0.032193232,0.866536786
ENSG00000062096,ARSF,15.82570992,8.864999921,3.307518699,2.680256932,0.007356567,0.866536786
ENSG00000156284,CLDN8,15.01021181,8.747629192,3.616273546,2.418962249,0.015564855,0.866536786
ENSG00000112394,SLC16A10,9.691254829,8.419576276,3.904833045,2.156193665,0.031068546,0.866536786
ENSG00000169900,PYDC1,20.58568129,8.186938393,2.995132065,2.733414826,0.006268133,0.866536786
ENSG00000121898,CPXM2,24.36427254,8.186935732,3.168229004,2.584073223,0.009764106,0.866536786
ENSG00000267095,AC025048.1,16.39381591,7.952471847,3.236046561,2.457465212,0.013992136,0.866536786
ENSG00000039987,BEST2,9.761256687,7.865012043,3.654753838,2.151995016,0.031397747,0.866536786
ENSG00000093134,VNN3,46.79702572,7.819178467,4.102978691,1.905732166,0.056684964,0.866536786
ENSG00000232316,LINC02518,10.07625701,7.771901917,3.328154225,2.33519885,0.019533035,0.866536786
ENSG00000167768,KRT1,9742.649497,7.597885252,3.172250189,2.395109087,0.016615421,0.866536786
ENSG00000270672,MTRNR2L6,20.99835078,7.565457361,3.097186314,2.442687198,0.014578367,0.866536786
ENSG00000223863,LINC01805,10.42195379,7.565451796,3.159811914,2.394272825,0.016653356,0.866536786
ENSG00000153930,ANKFN1,33.22583691,7.565447633,3.32938806,2.272323772,0.023066962,0.866536786
ENSG00000159261,CLDN14,8.965526949,7.388582161,3.423458503,2.158221621,0.030910605,0.866536786
ENSG00000164929,BAALC,15.15173561,7.388570523,3.327984688,2.220133569,0.026409702,0.866536786
ENSG00000187510,PLEKHG7,5.0496427,7.38856163,4.156635719,1.777534075,0.07548041,0.866536786
ENSG00000237609,AF064858.2,11.00698262,7.32444394,2.846767026,2.572898967,0.010085064,0.866536786
ENSG00000126733,DACH2,9.12210833,7.324434316,3.410103603,2.147862695,0.031724665,0.866536786
ENSG00000120659,TNFSF11,4.819801617,7.324431395,3.827270178,1.913748195,0.055652338,0.866536786
ENSG00000178597,PSAPL1,287.5542306,7.267811219,3.035463657,2.394300193,0.016652114,0.866536786
ENSG00000234896,OR7E62P,11.01342753,7.257331091,2.748902635,2.640082991,0.008288573,0.866536786
ENSG00000184148,SPRR4,103.2989362,7.242488333,3.508013761,2.06455528,0.038965098,0.866536786
ENSG00000231764,DLX6-AS1,9.257528648,7.186951728,3.311693682,2.170174061,0.029993662,0.866536786
ENSG00000152463,OLAH,31.1562448,7.186943279,3.249569673,2.211660005,0.026990166,0.866536786
ENSG00000232628,AC092809.2,5.880505405,7.186942892,3.26613375,2.200443534,0.027775442,0.866536786
ENSG00000160868,CYP3A4,5.16593423,7.186932424,3.685172545,1.950229558,0.051148764,0.866536786
ENSG00000266469,AC005288.1,9.23450853,7.112939083,2.748941344,2.58751941,0.009666975,0.866536786
ENSG00000236996,MLIP-IT1,18.50633582,7.11293897,3.14131803,2.26431673,0.023554641,0.866536786
ENSG00000253775,AC100802.1,97.14125899,7.034900471,4.146078281,1.696760166,0.089742013,0.866536786
ENSG00000259712,AC023906.5,4.545124889,6.952478111,3.278641161,2.120536457,0.03396083,0.866536786
ENSG00000165092,ALDH1A1,9.569623304,6.952476957,2.719825986,2.556221241,0.010581582,0.866536786
ENSG00000267259,ERVE-1,146.3705854,6.876294395,2.109377353,3.259869263,0.001114636,0.866536786
ENSG00000169758,TMEM266,4.016713444,6.8650174,3.616887868,1.898045406,0.057690101,0.866536786
ENSG00000277748,AC006262.4,6.647291207,6.865009347,3.373949814,2.034709977,0.041880064,0.866536786
ENSG00000069535,MAOB,3.625073844,6.865002806,3.803181286,1.805068518,0.071063961,0.866536786
ENSG00000168703,WFDC12,525.6235654,6.797329509,4.448359375,1.52805314,0.126499345,0.866536786
ENSG00000121807,CCR2,5.903674685,6.771909729,2.931715948,2.309879213,0.020894842,0.866536786
ENSG00000235531,MSC-AS1,39.67992277,6.771896329,3.103151003,2.182264519,0.029090016,0.866536786
ENSG00000107736,CDH23,4.226363444,6.771880846,3.90404998,1.73457842,0.082815505,0.866536786
ENSG00000189182,KRT77,701.7534606,6.763064455,2.970909307,2.276429118,0.022820339,0.866536786
ENSG00000146674,IGFBP3,4012.249211,6.571065897,1.858918957,3.534885623,0.000407952,0.866536786
ENSG00000188517,COL25A1,4.429402277,6.565461405,3.487106879,1.882781811,0.059729943,0.866536786
ENSG00000205622,AP001043.1,7.989762104,6.565460495,2.870456183,2.287253341,0.02218104,0.866536786
ENSG00000248362,AC011352.1,10.84814623,6.56545545,3.01049206,2.18085792,0.029193927,0.866536786
ENSG00000253768,AC008663.1,3.93548946,6.565447986,3.47133528,1.891332141,0.058580021,0.866536786
ENSG00000250378,AC114296.1,2.883212288,6.565442811,4.221839006,1.555114442,0.119918816,0.866536786
ENSG00000265246,AC129926.1,2.973967763,6.565432345,4.100593109,1.601093347,0.109356246,0.866536786
ENSG00000186395,KRT10,23981.7459,6.542833998,2.588823488,2.527338781,0.011493058,0.866536786
ENSG00000109906,ZBTB16,76.01417609,6.459426076,2.299481315,2.80907961,0.004968336,0.866536786
ENSG00000230387,AL118508.1,3.66954497,6.449984759,3.480767982,1.85303496,0.063877348,0.866536786
ENSG00000219507,FTH1P8,13.54930245,6.449979638,2.953289887,2.183998146,0.028962384,0.866536786
ENSG00000269745,AC006262.3,4.534004624,6.44997409,3.927325727,1.64233235,0.100521146,0.866536786
ENSG00000129437,KLK14,15.22898765,6.449972703,2.8732531,2.244832766,0.02477887,0.866536786
ENSG00000229227,AL356056.1,2.631554089,6.449933111,4.81131566,1.340575752,0.180058234,0.866536786
ENSG00000237101,AC092809.4,55.52927649,6.422334712,2.48907085,2.580213701,0.009873919,0.866536786
ENSG00000172201,ID4,1709.741297,6.365392133,3.297985396,1.930084997,0.053596307,0.866536786
ENSG00000268416,AC010329.1,22.09144455,6.329223677,2.367625974,2.673236291,0.007512331,0.866536786
ENSG00000162398,LEXM,3.734281443,6.324453762,3.506848126,1.803458129,0.071316296,0.866536786
ENSG00000257878,AC007298.2,3.949851602,6.324452299,3.572221844,1.770453397,0.076651641,0.866536786
ENSG00000173578,XCR1,3.054370855,6.324452279,3.57311164,1.770012503,0.076725058,0.866536786
ENSG00000233449,MTATP6P14,2.709628051,6.324448953,3.717346757,1.701334142,0.08888026,0.866536786
ENSG00000151704,KCNJ1,2.999718786,6.324442794,3.56333443,1.774866468,0.075919938,0.866536786
ENSG00000114771,AADAC,2.509568438,6.324436876,4.199767863,1.505901536,0.132092452,0.866536786
ENSG00000112212,TSPO2,2.557913939,6.324427015,4.205597627,1.503811723,0.132629852,0.866536786
ENSG00000198851,CD3E,3.048788639,6.324426574,3.97934938,1.589311712,0.111990036,0.866536786
ENSG00000142973,CYP4B1,319.5280013,6.320709064,2.7551164,2.294171333,0.021780659,0.866536786
ENSG00000143556,S100A7,1403.784825,6.314332181,3.53569266,1.785882651,0.074118261,0.866536786
ENSG00000197953,AADACL2,152.4217011,6.225393022,2.282102304,2.727920222,0.006373502,0.866536786
ENSG00000131969,ABHD12B,5.320852576,6.186951167,3.4877329,1.773917712,0.076076763,0.866536786
ENSG00000143536,CRNN,3.593747129,6.186948264,3.159164202,1.958413007,0.05018157,0.866536786
ENSG00000274150,FADS2P1,4.405733657,6.186945836,2.865079439,2.159432563,0.030816624,0.866536786
ENSG00000118849,RARRES1,17.17126879,6.186943404,3.205172425,1.93029971,0.053569713,0.866536786
ENSG00000122224,LY9,12.32498918,6.186940821,3.135268741,1.973336684,0.048457216,0.866536786
ENSG00000241644,INMT,2.617439238,6.186935521,3.580684221,1.727864045,0.084012602,0.866536786
ENSG00000135218,CD36,47.40406883,6.066195959,2.194803719,2.763889959,0.00571168,0.866536786
ENSG00000163209,SPRR3,199.8011252,6.054609447,2.057804459,2.942266657,0.003258192,0.866536786
ENSG00000113389,NPR3,12.66367643,6.037042505,2.721832586,2.21800655,0.026554386,0.866536786
ENSG00000176945,MUC20,6.007462027,6.034949339,2.957511203,2.04054995,0.041295581,0.866536786
ENSG00000238107,AC245100.6,6.648225206,6.034943876,2.914197456,2.070876791,0.038370312,0.866536786
ENSG00000197888,UGT2B17,5.455257647,6.034943069,2.866912629,2.105032085,0.035288515,0.866536786
ENSG00000283142,AL049767.1,17.64386799,6.034937788,3.157505664,1.911299117,0.055966152,0.866536786
ENSG00000197353,LYPD2,26.96293942,6.034905823,5.133270631,1.175645365,0.23973662,0.866536786
ENSG00000016602,CLCA4,24.23494772,5.992193616,2.432068253,2.463826256,0.013746273,0.866536786
ENSG00000165591,FAAH2,35.19558951,5.976925277,2.32962097,2.565621341,0.010299119,0.866536786
ENSG00000261040,WFDC21P,321.3814672,5.950375612,2.121382617,2.804951622,0.005032413,0.866536786
ENSG00000178033,CALHM5,201.4739635,5.930124806,2.843436412,2.085548592,0.037019532,0.866536786
ENSG00000166869,CHP2,106.573251,5.892660822,2.109251245,2.793721628,0.005210531,0.866536786
ENSG00000139055,ERP27,23.5413314,5.881769096,2.533983198,2.321155523,0.020278452,0.866536786
ENSG00000090512,FETUB,21.99818326,5.865281585,2.585594829,2.268445744,0.023302052,0.866536786
ENSG00000102032,RENBP,6.779014402,5.865023926,3.003825486,1.952518198,0.050876712,0.866536786
ENSG00000240652,AP001024.1,5.534055961,5.86502086,2.955983717,1.984118121,0.047242673,0.866536786
ENSG00000223715,LINC01208,8.936158885,5.865017819,3.126435742,1.875943823,0.060662994,0.866536786
ENSG00000175868,CALCB,7.76255993,5.865010161,3.018796661,1.942830478,0.052036644,0.866536786
ENSG00000176971,FIBIN,35.96242928,5.865002694,2.939704105,1.995099671,0.04603201,0.866536786
ENSG00000178776,C5orf46,208.9433638,5.83596748,2.227222643,2.620289219,0.008785522,0.866536786
ENSG00000129151,BBOX1,521.0308159,5.795802746,1.799149244,3.221412991,0.001275602,0.866536786
ENSG00000174145,NWD2,108.3115079,5.791573555,2.159473468,2.681937815,0.007319706,0.866536786
ENSG00000204866,IGFL2,1684.156314,5.751688092,1.980702888,2.903862122,0.003685904,0.866536786
ENSG00000119915,ELOVL3,18.51416137,5.744268758,2.556375571,2.247036321,0.024637706,0.866536786
ENSG00000236740,AL033384.1,193.2141963,5.676580949,2.253629459,2.518861708,0.011773489,0.866536786
ENSG00000140297,GCNT3,6.153535028,5.672379624,2.986509907,1.899333939,0.057520583,0.866536786
ENSG00000167614,TTYH1,5.897003599,5.672376819,2.923280772,1.940414644,0.052329318,0.866536786
ENSG00000276997,AL513314.2,5.883902331,5.672370798,2.739631641,2.070486672,0.038406793,0.866536786
ENSG00000187595,ZNF385C,9.175141211,5.672366699,2.96030926,1.916139903,0.05534729,0.866536786
ENSG00000121335,PRB2,28.68428674,5.672343583,4.995549208,1.135479473,0.256174478,0.866536786
ENSG00000234424,AL353743.4,44.50267758,5.672338324,4.845699842,1.170592176,0.241762744,0.866536786
ENSG00000108950,FAM20A,22.45060378,5.670268134,2.270022273,2.497890969,0.012493461,0.866536786
ENSG00000204421,LY6G6C,166.2334283,5.603672428,1.988755663,2.817677672,0.004837234,0.866536786
ENSG00000124102,PI3,1882.777943,5.600386264,1.875960317,2.985343674,0.002832599,0.866536786
ENSG00000172551,MUCL1,188.298291,5.592192269,5.888081898,0.949747705,0.342240464,0.86895025
ENSG00000105357,MYH14,899.9134225,5.553153141,1.845335885,3.009291255,0.00261858,0.866536786
ENSG00000248713,C4orf54,71.71643704,5.55159981,3.75880617,1.476958257,0.139686827,0.866536786
ENSG00000118432,CNR1,6.757620561,5.449987114,3.546113547,1.536890187,0.124320203,0.866536786
ENSG00000283131,MTND2P41,4.969197281,5.449984717,2.938355875,1.854773536,0.063628573,0.866536786
ENSG00000188573,FBLL1,5.080680362,5.449984668,2.941453512,1.852820262,0.063908125,0.866536786
ENSG00000232187,FTH1P7,8.962157977,5.449984026,2.981182355,1.828128365,0.067530289,0.866536786
ENSG00000236972,FABP5P1,8.47684776,5.449983947,2.986088189,1.825124913,0.067982181,0.866536786
ENSG00000222019,URAHP,6.663703995,5.449982126,2.781562508,1.959323981,0.050074857,0.866536786
ENSG00000228917,AL591806.1,3.664022288,5.449979683,3.237475087,1.683404362,0.092296839,0.866536786
ENSG00000236049,LINC01920,11.27246535,5.449977108,3.380249406,1.612300293,0.10689661,0.866536786
ENSG00000004799,PDK4,7.628988236,5.449976014,4.080479485,1.335621471,0.181673028,0.866536786
ENSG00000196407,THEM5,58.26384575,5.435163509,2.372287054,2.291107014,0.021957225,0.866536786
ENSG00000169550,MUC15,1981.19156,5.408223188,1.873887831,2.886097609,0.003900512,0.866536786
ENSG00000124107,SLPI,16268.57965,5.406483447,1.883019713,2.871177296,0.004089461,0.866536786
ENSG00000172478,C2orf54,228.4181629,5.395034838,2.082840586,2.59022936,0.0095912,0.866536786
ENSG00000138449,SLC40A1,165.0052095,5.360929109,3.040419594,1.763220155,0.077863366,0.866536786
ENSG00000162366,PDZK1IP1,581.7356436,5.329234658,1.907499164,2.793833286,0.005208732,0.866536786
ENSG00000162040,HS3ST6,26.14678556,5.32923298,2.1571212,2.470530158,0.013491294,0.866536786
ENSG00000206129,AC006305.1,22.09016843,5.329225792,2.492759935,2.137881678,0.032526348,0.866536786
ENSG00000248360,LINC00504,60.66853734,5.313112687,2.06547681,2.57234197,0.010101306,0.866536786
ENSG00000165794,SLC39A2,151.9350761,5.3119568,1.924894071,2.759609934,0.005787041,0.866536786
ENSG00000162645,GBP2,580.9311565,5.306081674,1.911068387,2.776500156,0.005494761,0.866536786
ENSG00000180861,LINC01559,88.32781134,5.280308643,3.28132006,1.609202561,0.107572057,0.866536786
ENSG00000248485,PCP4L1,7.792110676,5.229693143,2.668956988,1.959452013,0.050059874,0.866536786
